CustomerID,Frequency,Monetary,Total_Items,Unique_Products,Country,Avg_Transaction_Value,LastPurchaseDate,FirstPurchaseDate,Customer_Lifetime_Days,Recency,R_score,F_score,M_score,RFM_Score
12379.0,2,660.24,342,36,BELGIUM,330.12,2011-09-19,2011-06-22,88,4904,3,4,2,342
12380.0,4,1505.05,796,70,BELGIUM,376.26,2011-11-18,2011-06-07,164,4844,2,4,1,241
12381.0,5,1253.46,742,63,NORWAY,250.69,2011-12-05,2011-08-12,115,4827,1,4,1,141
12383.0,5,1069.04,985,70,BELGIUM,213.81,2011-06-08,2010-12-22,167,5007,4,4,1,441
12384.0,2,286.32,107,17,SWITZERLAND,143.16,2011-11-11,2011-08-10,92,4851,2,4,3,243
12386.0,1,144.30,82,6,AUSTRALIA,144.30,2010-12-08,2010-12-08,0,5189,4,4,4,444
12388.0,6,1465.66,814,48,AUSTRALIA,244.28,2011-11-24,2011-01-17,311,4838,1,4,1,141
12390.0,1,407.74,308,26,BELGIUM,407.74,2011-09-21,2011-09-21,0,4902,3,4,2,342
12391.0,1,406.88,263,89,CYPRUS,406.88,2011-11-18,2011-11-18,0,4844,2,4,2,242
12393.0,4,1193.50,618,45,AUSTRALIA,298.38,2011-09-28,2011-01-11,260,4895,3,4,1,341
12394.0,1,331.18,178,19,BELGIUM,331.18,2011-05-06,2011-05-06,0,5040,4,4,3,443
12395.0,12,1844.57,1191,75,BELGIUM,153.71,2011-11-20,2010-12-03,351,4842,2,4,1,241
12397.0,2,1720.01,1139,96,BELGIUM,860.00,2011-11-04,2011-07-27,99,4858,2,4,1,241
12398.0,1,1273.24,1299,80,SWITZERLAND,1273.24,2011-10-25,2011-10-25,0,4868,2,4,1,241
12399.0,4,684.60,690,41,BELGIUM,171.15,2011-08-12,2011-03-23,142,4942,3,4,2,342
12401.0,1,32.85,7,2,BELGIUM,32.85,2011-02-09,2011-02-09,0,5126,4,4,4,444
12402.0,1,195.60,92,10,BELGIUM,195.60,2011-01-20,2011-01-20,0,5146,4,4,3,443
12403.0,1,9.90,2,1,DENMARK,9.90,2011-10-21,2011-10-21,0,4872,2,4,4,244
12405.0,1,708.57,407,34,FINLAND,708.57,2011-07-14,2011-07-14,0,4971,4,4,2,442
12406.0,2,1646.22,1158,69,DENMARK,823.11,2011-11-17,2011-06-09,161,4844,2,4,1,241
12407.0,5,932.01,814,46,BELGIUM,186.40,2011-10-21,2011-03-20,214,4872,2,4,2,242
12408.0,5,1311.77,889,67,BELGIUM,262.35,2011-11-07,2011-03-24,227,4855,2,4,1,241
12409.0,3,162.63,145,7,SWITZERLAND,54.21,2011-09-22,2011-06-10,103,4901,3,4,4,344
12410.0,1,234.63,153,13,SWITZERLAND,234.63,2011-02-04,2011-02-04,0,5131,4,4,3,443
12412.0,3,820.50,626,38,DENMARK,273.50,2011-09-26,2011-06-23,94,4897,3,4,2,342
12413.0,3,545.20,268,23,FRANCE,181.73,2011-10-04,2011-01-06,270,4889,3,4,2,342
12414.0,3,174.45,117,9,AUSTRIA,58.15,2011-05-06,2011-02-02,93,5040,4,4,3,443
12415.0,8,469.60,298,69,AUSTRALIA,58.70,2011-11-03,2011-01-06,301,4859,2,4,2,242
12417.0,9,2092.35,1246,123,BELGIUM,232.48,2011-12-06,2010-12-17,354,4826,1,4,1,141
12418.0,1,314.21,310,23,SWITZERLAND,314.21,2011-08-19,2011-08-19,0,4935,3,4,3,343
12420.0,1,340.70,174,19,CYPRUS,340.70,2011-10-07,2011-10-07,0,4886,3,4,3,343
12421.0,4,607.57,429,30,SPAIN,151.89,2011-11-24,2011-01-24,303,4838,1,4,2,142
12422.0,3,645.31,364,37,AUSTRALIA,215.10,2011-09-05,2011-01-19,229,4918,3,4,2,342
12423.0,8,1449.69,1267,90,BELGIUM,181.21,2011-12-09,2010-12-21,352,4823,1,4,1,141
12424.0,2,233.92,124,15,AUSTRALIA,116.96,2011-06-30,2011-06-30,0,4985,4,4,3,443
12425.0,1,467.34,300,29,PORTUGAL,467.34,2011-09-22,2011-09-22,0,4900,3,4,2,342
12426.0,1,446.08,247,25,GERMANY,446.08,2011-05-29,2011-05-29,0,5017,4,4,2,442
12427.0,3,382.66,188,20,GERMANY,127.55,2011-11-18,2010-12-03,349,4844,2,4,3,243
12428.0,8,3768.98,2669,208,FINLAND,471.12,2011-11-14,2011-03-01,257,4848,2,4,1,241
12429.0,4,1049.34,738,54,DENMARK,262.33,2011-11-30,2010-12-09,356,4831,1,4,1,141
12430.0,1,129.00,104,8,NORWAY,129.00,2011-10-27,2011-10-27,0,4866,2,4,4,244
12431.0,13,3032.51,1489,132,AUSTRALIA,233.27,2011-10-10,2010-12-01,313,4883,3,4,1,341
12432.0,3,840.18,506,53,NORWAY,280.06,2011-10-28,2011-06-20,129,4865,2,4,2,242
12433.0,7,4304.10,3444,151,NORWAY,614.87,2011-12-09,2010-12-01,372,4823,1,4,1,141
12434.0,2,532.24,352,37,AUSTRALIA,266.12,2011-09-16,2011-03-24,175,4907,3,4,2,342
12436.0,1,207.16,166,10,NORWAY,207.16,2011-09-01,2011-09-01,0,4922,3,4,3,343
12437.0,18,2544.42,1916,102,FRANCE,141.36,2011-12-08,2011-01-12,329,4824,1,4,1,141
12438.0,2,1312.12,826,63,NORWAY,656.06,2011-11-25,2011-07-22,125,4837,1,4,1,141
12441.0,1,155.55,120,10,FRANCE,155.55,2010-12-08,2010-12-08,0,5189,4,4,4,444
12442.0,1,144.06,181,11,SPAIN,144.06,2011-12-06,2011-12-06,0,4826,1,4,4,144
12444.0,5,2119.61,929,108,NORWAY,423.92,2011-11-18,2011-06-21,149,4844,2,4,1,241
12445.0,1,77.40,60,3,SPAIN,77.40,2011-11-17,2011-11-17,0,4844,2,4,4,244
12446.0,1,734.36,326,45,RSA,734.36,2011-10-13,2011-10-13,0,4880,3,4,2,342
12447.0,1,379.79,181,22,BELGIUM,379.79,2011-04-10,2011-04-10,0,5066,4,4,3,443
12448.0,1,283.95,237,19,SPAIN,283.95,2011-10-26,2011-10-26,0,4867,2,4,3,243
12449.0,4,2573.64,1378,104,BELGIUM,643.41,2011-11-17,2011-06-05,164,4845,2,4,1,241
12450.0,2,131.88,88,7,SPAIN,65.94,2011-07-06,2011-06-19,17,4979,4,4,4,444
12451.0,5,4307.89,3422,206,SWITZERLAND,861.58,2011-11-29,2011-01-19,313,4833,1,4,1,141
12452.0,1,287.67,175,19,SWITZERLAND,287.67,2011-11-23,2011-11-23,0,4839,1,4,3,143
12453.0,1,707.09,473,43,AUSTRIA,707.09,2011-07-28,2011-07-28,0,4957,3,4,2,342
12455.0,5,932.86,668,59,SPAIN,186.57,2011-09-27,2011-02-16,223,4896,3,4,2,342
12456.0,3,1465.24,1090,85,SWITZERLAND,488.41,2011-10-26,2011-03-30,210,4867,2,4,1,241
12457.0,2,840.13,459,40,SWITZERLAND,420.06,2011-09-14,2011-04-14,152,4909,3,4,2,342
12458.0,2,565.58,334,29,SWITZERLAND,282.79,2011-09-29,2011-02-28,213,4894,3,4,2,342
12461.0,1,419.08,256,29,SWITZERLAND,419.08,2011-07-08,2011-07-08,0,4977,4,4,2,442
12462.0,2,657.80,406,38,SPAIN,328.90,2011-11-21,2011-02-09,284,4841,2,4,2,242
12463.0,4,1155.38,764,62,BELGIUM,288.85,2011-10-17,2011-04-12,188,4876,3,4,1,341
12464.0,4,76.50,30,1,BELGIUM,19.12,2011-07-13,2011-02-03,159,4972,4,4,4,444
12465.0,2,621.49,425,43,BELGIUM,310.75,2011-11-22,2011-06-23,152,4839,1,4,2,142
12468.0,2,505.19,297,31,GERMANY,252.59,2011-06-05,2011-01-27,128,5010,4,4,2,442
12471.0,26,5707.15,3780,128,GERMANY,219.51,2011-12-07,2010-12-10,362,4825,1,4,1,141
12472.0,7,4543.17,3494,202,GERMANY,649.02,2011-11-07,2010-12-05,336,4855,2,4,1,241
12473.0,3,2132.55,1742,121,GERMANY,710.85,2011-10-17,2011-06-01,138,4876,3,4,1,341
12474.0,17,5843.19,4218,234,GERMANY,343.72,2011-11-22,2011-01-14,312,4840,1,4,1,141
12475.0,1,483.34,288,29,GERMANY,483.34,2011-10-17,2011-10-17,0,4876,3,4,2,342
12476.0,10,2862.79,1607,134,GERMANY,286.28,2011-11-24,2010-12-13,345,4838,1,4,1,141
12477.0,6,3325.90,1476,129,GERMANY,554.32,2011-11-17,2011-02-11,278,4845,2,4,1,241
12478.0,1,479.59,225,32,GREECE,479.59,2011-12-06,2011-12-06,0,4826,1,4,2,142
12479.0,1,426.35,377,28,GERMANY,426.35,2011-11-28,2011-11-28,0,4834,1,4,2,142
12480.0,4,2178.14,1272,118,GERMANY,544.53,2011-11-11,2011-01-07,307,4851,2,4,1,241
12481.0,10,2983.70,2238,121,GERMANY,298.37,2011-11-17,2010-12-09,342,4845,2,4,1,241
12483.0,7,1095.52,676,38,SWEDEN,156.50,2011-11-22,2011-01-04,322,4839,1,4,1,141
12484.0,4,3322.58,1936,230,SPAIN,830.64,2011-11-04,2011-01-07,301,4858,2,4,1,241
12488.0,3,700.64,376,36,FRANCE,233.55,2011-11-30,2011-09-25,65,4832,1,4,2,142
12489.0,1,191.43,93,10,FRANCE,191.43,2011-01-07,2011-01-07,0,5159,4,4,3,443
12490.0,10,3575.13,2371,117,FRANCE,357.51,2011-12-04,2011-01-14,324,4827,1,4,1,141
12491.0,1,350.75,183,23,FRANCE,350.75,2011-11-01,2011-11-01,0,4861,2,4,3,243
12492.0,2,227.21,190,18,GERMANY,113.61,2011-10-07,2011-08-26,42,4886,3,4,3,343
12493.0,2,332.91,167,16,FRANCE,166.46,2011-06-27,2011-05-26,31,4988,4,4,3,443
12494.0,7,951.75,685,59,FRANCE,135.96,2011-11-24,2010-12-09,349,4838,1,4,2,142
12497.0,1,20.40,24,1,GERMANY,20.40,2011-09-19,2011-09-19,0,4904,3,4,4,344
12498.0,3,349.70,156,20,GERMANY,116.57,2011-11-18,2011-10-13,36,4844,2,4,3,243
12500.0,6,319.99,161,22,GERMANY,53.33,2011-10-21,2011-02-17,245,4872,2,4,3,243
12501.0,1,1866.66,1618,138,GERMANY,1866.66,2011-01-07,2011-01-07,0,5159,4,4,1,441
12502.0,5,1403.62,584,71,SPAIN,280.72,2011-09-05,2011-02-03,214,4918,3,4,1,341
12504.0,1,60.00,48,2,GERMANY,60.00,2011-11-09,2011-11-09,0,4853,2,4,4,244
12506.0,1,57.60,21,21,FRANCE,57.60,2011-04-21,2011-04-21,0,5055,4,4,4,444
12507.0,1,206.10,126,9,SPAIN,206.10,2011-02-14,2011-02-14,0,5121,4,4,3,443
12508.0,2,397.88,271,57,FRANCE,198.94,2011-11-13,2011-11-10,2,4849,2,4,3,243
12509.0,1,25.50,30,3,FRANCE,25.50,2011-02-28,2011-02-28,0,5107,4,4,4,444
12510.0,2,467.65,271,26,SPAIN,233.82,2011-07-20,2011-01-18,182,4965,3,4,2,342
12512.0,2,124.23,95,30,ISRAEL,62.12,2011-10-04,2011-10-04,0,4889,3,4,4,344
12513.0,1,520.04,456,33,FRANCE,520.04,2011-08-19,2011-08-19,0,4935,3,4,2,342
12514.0,1,737.98,410,43,ITALY,737.98,2011-03-17,2011-03-17,0,5089,4,4,2,442
12515.0,1,190.80,120,11,ITALY,190.80,2010-12-21,2010-12-21,0,5176,4,4,3,443
12516.0,2,104.08,106,7,GERMANY,52.04,2011-09-23,2011-06-12,102,4900,3,4,4,344
12517.0,4,2176.85,1336,221,GERMANY,544.21,2011-11-11,2011-06-02,161,4851,2,4,1,241
12518.0,5,1654.03,1254,80,GERMANY,330.81,2011-12-09,2011-08-21,109,4823,1,4,1,141
12519.0,1,242.84,168,15,GERMANY,242.84,2011-10-07,2011-10-07,0,4886,3,4,3,343
12520.0,5,2009.54,1379,112,GERMANY,401.91,2011-09-21,2011-03-11,194,4902,3,4,1,341
12521.0,1,457.43,281,33,GERMANY,457.43,2011-07-20,2011-07-20,0,4965,3,4,2,342
12522.0,2,152.72,92,9,GERMANY,76.36,2011-10-31,2011-10-19,12,4862,2,4,4,244
12523.0,11,1238.31,765,62,FRANCE,112.57,2011-11-20,2011-01-12,312,4842,2,4,1,241
12524.0,8,1484.01,1158,73,GERMANY,185.50,2011-11-30,2011-01-10,324,4832,1,4,1,141
12526.0,3,1074.46,614,58,GERMANY,358.15,2011-12-09,2011-09-06,93,4823,1,4,1,141
12527.0,3,195.91,181,14,GERMANY,65.30,2011-09-19,2011-01-18,243,4904,3,4,3,343
12528.0,6,983.03,661,36,GERMANY,163.84,2011-11-30,2011-01-31,303,4832,1,4,1,141
12530.0,4,843.42,466,41,GERMANY,210.86,2011-10-11,2011-01-07,277,4882,3,4,2,342
12531.0,1,95.27,44,16,GERMANY,95.27,2011-11-25,2011-11-25,0,4837,1,4,4,144
12532.0,1,252.33,137,13,FRANCE,252.33,2011-11-09,2011-11-09,0,4853,2,4,3,243
12534.0,1,828.73,630,55,GERMANY,828.73,2011-08-01,2011-08-01,0,4953,3,4,2,342
12535.0,2,488.75,185,22,FRANCE,244.38,2011-09-09,2011-06-06,94,4914,3,4,2,342
12536.0,1,3511.05,2455,227,FRANCE,3511.05,2011-10-11,2011-10-11,0,4882,3,4,1,341
12538.0,1,258.75,179,16,SPAIN,258.75,2011-11-10,2011-11-10,0,4851,2,4,3,243
12539.0,4,4017.40,1920,133,SPAIN,1004.35,2011-11-17,2011-01-10,311,4845,2,4,1,241
12540.0,17,6031.14,4646,229,SPAIN,354.77,2011-11-20,2010-12-13,342,4842,2,4,1,241
12541.0,3,721.38,629,42,SPAIN,240.46,2011-11-10,2011-03-04,251,4852,2,4,2,242
12544.0,1,284.90,130,17,SPAIN,284.90,2011-11-03,2011-11-03,0,4858,2,4,3,243
12545.0,2,698.80,468,34,SPAIN,349.40,2011-09-25,2011-03-25,184,4898,3,4,2,342
12546.0,2,969.58,528,55,SPAIN,484.79,2011-10-24,2011-09-23,31,4869,2,4,1,241
12547.0,2,151.80,132,6,SPAIN,75.90,2011-05-26,2011-03-04,82,5020,4,4,4,444
12548.0,1,67.20,48,4,SPAIN,67.20,2011-06-26,2011-06-26,0,4989,4,4,4,444
12550.0,1,748.88,555,52,SPAIN,748.88,2011-09-21,2011-09-21,0,4902,3,4,2,342
12551.0,1,168.00,100,10,SPAIN,168.00,2010-12-17,2010-12-17,0,5180,4,4,4,444
12552.0,1,165.47,70,9,ITALY,165.47,2011-10-31,2011-10-31,0,4862,2,4,4,244
12553.0,10,2729.70,1563,87,FRANCE,272.97,2011-12-01,2011-01-14,321,4830,1,4,1,141
12556.0,2,513.66,346,93,SPAIN,256.83,2011-10-20,2011-07-11,100,4873,2,4,2,242
12558.0,1,145.16,136,9,USA,145.16,2011-12-02,2011-12-02,0,4830,1,4,4,144
12559.0,1,210.96,178,14,GERMANY,210.96,2011-01-24,2011-01-24,0,5142,4,4,3,443
12560.0,2,1482.36,943,79,GERMANY,741.18,2011-12-04,2011-07-19,137,4828,1,4,1,141
12561.0,1,207.05,173,14,GERMANY,207.05,2011-02-10,2011-02-10,0,5125,4,4,3,443
12562.0,7,2473.22,1395,88,FRANCE,353.32,2011-12-01,2011-05-25,190,4830,1,4,1,141
12564.0,1,336.15,125,17,FRANCE,336.15,2011-03-23,2011-03-23,0,5084,4,4,3,443
12565.0,1,145.92,80,9,SAUDI ARABIA,145.92,2011-02-24,2011-02-24,0,5111,4,4,4,444
12566.0,1,222.13,208,14,GERMANY,222.13,2011-09-14,2011-09-14,0,4909,3,4,3,343
12567.0,10,6536.83,3770,283,FRANCE,653.68,2011-11-17,2010-12-05,346,4845,2,4,1,241
12569.0,28,2345.09,1493,80,GERMANY,83.75,2011-12-07,2011-04-01,250,4824,1,4,1,141
12571.0,2,489.37,451,29,FRANCE,244.69,2011-10-31,2011-08-10,81,4862,2,4,2,242
12572.0,2,650.87,391,45,GERMANY,325.44,2011-12-01,2011-10-19,43,4831,1,4,2,142
12573.0,1,150.59,83,25,FRANCE,150.59,2011-04-26,2011-04-26,0,5050,4,4,4,444
12574.0,1,162.55,57,9,FRANCE,162.55,2011-01-28,2011-01-28,0,5138,4,4,4,444
12576.0,5,1225.31,915,67,POLAND,245.06,2011-11-04,2011-02-08,268,4858,2,4,1,241
12577.0,3,570.65,463,133,FRANCE,190.22,2011-11-04,2010-12-15,323,4858,2,4,2,242
12578.0,2,1904.86,1063,97,ITALY,952.43,2011-11-18,2011-01-13,308,4844,2,4,1,241
12579.0,1,329.12,276,24,FRANCE,329.12,2011-09-22,2011-09-22,0,4900,3,4,3,343
12580.0,1,379.70,236,23,GERMANY,379.70,2011-04-07,2011-04-07,0,5069,4,4,3,443
12581.0,1,169.76,159,13,GERMANY,169.76,2011-10-31,2011-10-31,0,4862,2,4,4,244
12582.0,2,313.92,200,18,FINLAND,156.96,2011-04-15,2011-02-24,49,5061,4,4,3,443
12583.0,15,2556.08,2052,90,FRANCE,170.41,2011-12-07,2010-12-01,370,4825,1,4,1,141
12584.0,8,794.60,224,23,ITALY,99.33,2011-12-06,2011-03-04,276,4826,1,4,2,142
12585.0,2,1173.35,950,68,GERMANY,586.67,2011-04-19,2010-12-23,117,5057,4,4,1,441
12586.0,1,186.54,78,10,ITALY,186.54,2011-11-22,2011-11-22,0,4839,1,4,3,143
12587.0,1,20.80,10,1,FINLAND,20.80,2011-12-02,2011-12-02,0,4830,1,4,4,144
12588.0,1,79.65,43,5,FINLAND,79.65,2011-10-31,2011-10-31,0,4862,2,4,4,244
12589.0,2,417.28,288,22,FRANCE,208.64,2011-11-11,2011-07-18,115,4851,2,4,2,242
12591.0,1,323.10,220,22,ITALY,323.10,2011-01-26,2011-01-26,0,5140,4,4,3,443
12592.0,2,350.60,228,9,GERMANY,175.30,2011-09-08,2011-05-10,121,4915,3,4,3,343
12593.0,3,342.60,194,12,FRANCE,114.20,2011-08-23,2011-05-05,110,4931,3,4,3,343
12594.0,7,1865.22,1020,41,ITALY,266.46,2011-10-24,2011-01-21,276,4869,2,4,1,241
12596.0,2,288.27,234,17,SPAIN,144.13,2011-10-19,2011-04-11,190,4874,2,4,3,243
12597.0,4,2499.07,1701,148,SPAIN,624.77,2011-11-20,2011-03-16,248,4842,2,4,1,241
12598.0,7,1739.01,1183,67,FRANCE,248.43,2011-11-30,2011-02-28,275,4832,1,4,1,141
12599.0,7,719.38,804,30,FRANCE,102.77,2011-11-10,2011-02-08,275,4852,2,4,2,242
12600.0,9,603.92,398,27,GERMANY,67.10,2011-11-11,2010-12-17,329,4851,2,4,2,242
12601.0,5,371.51,203,19,GERMANY,74.30,2011-06-03,2011-01-11,142,5012,4,4,3,443
12602.0,1,129.22,160,11,FRANCE,129.22,2011-10-12,2011-10-12,0,4881,3,4,4,344
12604.0,2,236.18,200,14,FRANCE,118.09,2011-09-21,2011-03-23,182,4902,3,4,3,343
12607.0,1,1450.66,1177,95,USA,1450.66,2011-10-10,2011-10-10,0,4882,3,4,1,341
12609.0,3,846.11,533,49,GERMANY,282.04,2011-09-22,2011-01-25,240,4900,3,4,2,342
12610.0,4,1400.44,968,70,ITALY,350.11,2011-11-17,2011-08-05,103,4845,2,4,1,241
12611.0,1,884.92,608,58,ITALY,884.92,2011-10-18,2011-10-18,0,4875,3,4,2,342
12612.0,1,220.80,128,9,GERMANY,220.80,2011-09-26,2011-09-26,0,4897,3,4,3,343
12613.0,4,2554.20,1360,114,GERMANY,638.55,2011-10-13,2011-03-22,204,4880,3,4,1,341
12614.0,1,218.15,65,14,GERMANY,218.15,2011-03-07,2011-03-07,0,5100,4,4,3,443
12615.0,4,1389.83,913,71,FRANCE,347.46,2011-12-07,2011-06-24,166,4825,1,4,1,141
12616.0,2,386.80,250,20,FRANCE,193.40,2011-09-05,2011-02-15,202,4918,3,4,3,343
12617.0,1,333.08,208,37,FRANCE,333.08,2011-11-10,2011-11-10,0,4852,2,4,3,243
12618.0,1,121.41,93,9,ITALY,121.41,2011-11-18,2011-11-18,0,4844,2,4,4,244
12619.0,8,681.02,708,32,GERMANY,85.13,2011-11-23,2011-03-31,237,4839,1,4,2,142
12620.0,3,1100.14,838,78,FRANCE,366.71,2011-11-25,2011-05-19,189,4837,1,4,1,141
12621.0,18,6051.06,4151,226,GERMANY,336.17,2011-12-08,2010-12-09,364,4824,1,4,1,141
12622.0,1,123.85,65,8,GERMANY,123.85,2011-04-21,2011-04-21,0,5054,4,4,4,444
12623.0,1,230.10,169,16,GERMANY,230.10,2011-03-08,2011-03-08,0,5099,4,4,3,443
12624.0,2,492.78,342,30,FRANCE,246.39,2011-08-25,2011-06-15,71,4929,3,4,2,342
12625.0,2,1037.32,1103,57,GERMANY,518.66,2011-05-12,2011-01-24,107,5034,4,4,1,441
12626.0,9,3931.71,2627,205,GERMANY,436.86,2011-11-16,2011-01-17,303,4845,2,4,1,241
12627.0,6,3314.00,2079,148,GERMANY,552.33,2011-11-29,2011-07-22,129,4833,1,4,1,141
12628.0,3,665.46,403,32,GERMANY,221.82,2011-12-05,2011-10-06,60,4827,1,4,2,142
12630.0,2,905.08,530,53,FINLAND,452.54,2011-11-30,2011-10-27,34,4832,1,4,2,142
12631.0,1,396.00,222,25,FINLAND,396.00,2011-10-13,2011-10-13,0,4880,3,4,3,343
12633.0,4,1338.34,787,63,GERMANY,334.58,2011-10-12,2011-02-25,229,4881,3,4,1,341
12635.0,2,1357.69,1001,86,GERMANY,678.85,2011-09-11,2011-07-08,65,4912,3,4,1,341
12637.0,8,4315.78,2547,182,FRANCE,539.47,2011-10-03,2011-01-20,256,4890,3,4,1,341
12638.0,1,498.25,541,37,SWEDEN,498.25,2011-11-06,2011-11-06,0,4856,2,4,2,242
12639.0,1,325.30,194,18,SWEDEN,325.30,2011-04-15,2011-04-15,0,5061,4,4,3,443
12640.0,2,549.77,239,34,FRANCE,274.88,2011-11-15,2011-09-19,56,4847,2,4,2,242
12641.0,1,128.90,69,8,SWEDEN,128.90,2011-08-16,2011-08-16,0,4938,3,4,4,344
12642.0,3,558.25,385,34,GERMANY,186.08,2011-11-14,2011-08-24,82,4848,2,4,2,242
12643.0,1,12.08,26,2,FRANCE,12.08,2011-05-03,2011-05-03,0,5043,4,4,4,444
12644.0,1,417.12,284,27,GERMANY,417.12,2011-08-02,2011-08-02,0,4952,3,4,2,342
12645.0,4,1044.78,744,51,GERMANY,261.19,2011-11-06,2011-01-27,282,4856,2,4,1,241
12646.0,2,675.44,406,32,USA,337.72,2011-12-05,2011-10-21,44,4827,1,4,2,142
12647.0,11,1338.61,741,60,GERMANY,121.69,2011-11-17,2010-12-05,346,4845,2,4,1,241
12648.0,1,255.30,154,19,GERMANY,255.30,2011-07-08,2011-07-08,0,4977,4,4,3,443
12649.0,3,349.55,219,19,GERMANY,116.52,2011-08-24,2011-05-11,105,4930,3,4,3,343
12650.0,1,147.64,226,18,FRANCE,147.64,2011-12-06,2011-12-06,0,4825,1,4,4,144
12651.0,1,114.00,78,9,FRANCE,114.00,2011-01-09,2011-01-09,0,5157,4,4,4,444
12652.0,1,685.48,468,43,FRANCE,685.48,2011-01-12,2011-01-12,0,5154,4,4,2,442
12653.0,2,532.70,418,24,ISRAEL,266.35,2011-07-14,2011-02-16,147,4971,4,4,2,442
12654.0,5,499.33,257,28,GERMANY,99.87,2011-11-29,2011-02-17,284,4833,1,4,2,142
12656.0,5,1647.45,841,61,FRANCE,329.49,2011-11-22,2011-04-20,216,4840,1,4,1,141
12657.0,3,523.40,271,22,FRANCE,174.47,2011-11-28,2011-09-22,67,4834,1,4,2,142
12658.0,1,495.80,282,28,GERMANY,495.80,2011-11-21,2011-11-21,0,4841,2,4,2,242
12659.0,1,45.60,32,3,FRANCE,45.60,2011-11-10,2011-11-10,0,4852,2,4,4,244
12660.0,1,203.70,90,11,FRANCE,203.70,2011-11-28,2011-11-28,0,4834,1,4,3,143
12662.0,11,3247.83,1934,122,GERMANY,295.26,2011-12-09,2010-12-01,372,4823,1,4,1,141
12664.0,3,108.00,72,6,FINLAND,36.00,2011-09-13,2011-01-21,235,4910,3,4,4,344
12665.0,1,45.00,36,2,GERMANY,45.00,2011-01-19,2011-01-19,0,5147,4,4,4,444
12667.0,1,410.23,385,29,FINLAND,410.23,2011-10-12,2011-10-12,0,4880,3,4,2,342
12668.0,4,2223.80,1270,98,GERMANY,555.95,2011-11-28,2010-12-19,343,4834,1,4,1,141
12669.0,2,1319.92,1057,89,FRANCE,659.96,2011-07-12,2011-03-28,105,4973,4,4,1,441
12670.0,5,1214.17,699,39,FRANCE,242.83,2011-11-29,2011-04-21,222,4833,1,4,1,141
12672.0,1,118.05,55,7,FRANCE,118.05,2011-01-14,2011-01-14,0,5152,4,4,4,444
